length(mm),swing(rad),up_down(rad),FR(N),FL(N),RR(N),RL(N),External_force(N),Time(sec)
837.27784,0,0,0,0,4.37E-06,0,0,0
837.27784,0,0,13508.899,14384.809,0,0,0,0.080121
837.27784,0,0,9770.6906,10388.21,0,0,0,0.160121
837.27784,0,0,25150.676,27083.609,0,0,0,0.240121
837.27784,0,0,29953.762,31991.24,0,4.8823176,0,0.320121
837.27784,0,0,32732.927,34745.994,80.405066,194.00348,0,0.400121
837.27784,0,0,33604.583,35947.663,0,4.3825915,0,0.480121
837.27784,0,0,29337.428,31140.898,0.28109832,8.0067439,0,0.560121
837.27784,0,0,25747.02,27627.207,0,0,0,0.640121
837.27784,0,0,22145.527,23803.004,0,0,0,0.720121
837.27784,0,0,20933.952,22470.888,0,0,0,0.800121
837.27784,0,0,26594.238,28309.45,0,0,0,0.880121
837.27784,0,0,39798.59,41662.779,3844.2591,4393.7626,0,0.960121
837.27784,0,0,67788.39,69782.338,29525.857,30761.211,0,1.040121
837.27784,0,0,90704.364,92786.301,63256.58,64919.24,0,1.120121
837.27784,0,0,75795.619,77671.371,32005.703,33146.802,0,1.200121
837.27784,0,0,48053.859,50261.613,4205.2073,4828.2797,0,1.280121
837.27784,0,0,45161.48,47284.736,5260.478,5947.095,0,1.360121
837.27784,0,0,66240.91,68053.33,33948.78,35175.967,0,1.440121
837.27784,0,0,71166.002,72942.678,34113.24,35265.879,0,1.520121
837.27784,0,0,54673.182,56585.438,13069.581,13943.791,0,1.600121
837.27784,0,0,53681.092,55779.696,15683.667,16749.513,0,1.680121
837.27784,0,0,65474.884,67443.944,27888.396,29097.359,0,1.760121
837.27784,0,0,67176.016,68778.317,28745.273,29723.619,0,1.840121
837.27784,0,0,56704.677,58632.323,18528.563,19565.999,0,1.920121
837.27784,0,0,53384.227,55507.07,15943.193,17042.666,0,2.000121
837.27784,0,0,61815.384,63710.476,23791.743,24900.177,0,2.080121
837.27784,0,0,67577.955,69179.602,29343.803,30324.51,0,2.160121
837.27784,0,0,60261.34,62132.75,21981.492,23038.957,0,2.240121
837.27784,0,0,53676.698,55790.145,16199.832,17293.152,0,2.320121
837.27784,0,0,58449.9,60419.49,20555.824,21658.178,0,2.400121
837.27784,0,0,66496.908,68170.282,28322.731,29336.152,0,2.480121
837.27784,0,0,63385.456,65146.549,25056.327,26093.837,0,2.560121
837.27784,0,0,55212.461,57267.399,17526.525,18619.372,0,2.640121
837.27784,0,0,56028.909,58081.387,18347.603,19455.836,0,2.720121
837.27784,0,0,64211.248,65976.602,26065.033,27114.844,0,2.800121
837.27784,0,0,65407.043,67078.989,27142.306,28152.487,0,2.880121
837.27784,0,0,57651.418,59620.061,19671.785,20753.696,0,2.960121
837.27784,0,0,54894.468,56976.623,17336.255,18439.987,0,3.040121
837.27784,0,0,61423.543,63287.819,23369.148,24448.525,0,3.120121
837.27784,0,0,65983.557,67649.724,27790.537,28802.398,0,3.200121
837.27784,0,0,60350.706,62212.983,22172.185,23237.664,0,3.280121
837.27784,0,0,55045.99,57101.412,17439.793,18533.612,0,3.360121
837.27784,0,0,58860.22,60815.404,20961.644,22056.671,0,3.440121
837.27784,0,0,65217.172,66929.803,27065.622,28097.629,0,3.520121
837.27784,0,0,62688.116,64471.665,24456.175,25498.88,0,3.600121
837.27784,0,0,56236.97,58248.632,18451.341,19537.287,0,3.680121
837.27784,0,0,57012.308,59033.338,19264.999,20368.571,0,3.760121
837.27784,0,0,63521.373,65296.973,25415.203,26466.101,0,3.840121
837.27784,0,0,64222.326,65941.585,26004.686,27034.612,0,3.920121
837.27784,0,0,58045.488,59998.42,20083.728,21163.871,0,4.000121
837.27784,0,0,56110.357,58145.377,18435.03,19533.377,0,4.080121
837.27784,0,0,61446.962,63296.28,23418.789,24493.944,0,4.160121
837.27784,0,0,64711.276,66424.221,26544.793,27573.132,0,4.240121
837.27784,0,0,60074.813,61955.846,21963.369,23029.868,0,4.320121
837.27784,0,0,56151.164,58164.824,18444.496,19535.809,0,4.400121
837.27784,0,0,59490.719,61417.744,21574.287,22666.154,0,4.480121
837.27784,0,0,64226.997,65972.698,26109.379,27151.781,0,4.560121
837.27784,0,0,61860.932,63670.542,23688.245,24741.534,0,4.640121
837.27784,0,0,56964.665,58940.392,19147.945,20231.536,0,4.720121
837.27784,0,0,58038.893,60014.643,20211.184,21310.108,0,4.800121
837.27784,0,0,63059.536,64851.595,24982.04,26040.176,0,4.880121
837.27784,0,0,63075.288,64843.52,24906.528,25950.154,0,4.960121
837.27784,0,-2.52E-05,58436.447,60366.348,20243.427,21314.158,0,5.040121
837.27784,0,-0.000224836,57621.365,59637.75,19337.12,20439.087,0,5.120121
837.27784,0,-0.000620686,61693.477,63534.001,23581.204,24650.471,0,5.200121
837.27784,0,-0.001209551,63993.363,65792.552,25201.94,26258.586,0,5.280121
837.27784,0,-0.001988213,59814.488,61682.629,21726.918,22788.084,0,5.360121
837.27784,0,-0.002953456,57503.569,59513.742,19199.256,20296.69,0,5.440121
837.27784,0,-0.004102063,60182.221,62092.276,22167.38,23249.613,0,5.520121
837.27784,0,-0.005430816,63641.735,65436.596,25138.264,26194.051,0,5.600121
837.27784,0,-0.006936499,61317.363,63165.645,22985.467,24045.098,0,5.680121
837.27784,0,-0.008615895,57776.846,59742.644,19779.091,20868.424,0,5.760121
837.27784,0,-0.010465786,59099.625,61049.987,20954.008,22049.201,0,5.840121
837.27784,0,-0.012482956,62650.382,64447.924,24551.237,25613.206,0,5.920121
837.27784,0,-0.014664187,62405.909,64224.083,23969.48,25023.171,0,6.000121
837.27784,0,-0.017006263,58583.568,60512.493,20735.788,21812.197,0,6.080121
837.27784,0,-0.019505967,58324.84,60299.308,20303.649,21401.387,0,6.160121
837.27784,0,-0.022160082,61451.283,63287.064,23544.69,24614.522,0,6.240121
837.27784,0,-0.02496539,62775.99,64577.51,24561.827,25613.101,0,6.320121
837.27784,0,-0.027918675,59739.725,61628.071,21842.589,22911.903,0,6.400121
837.27784,0,-0.03101672,57993.522,59949.664,20265.466,21358.598,0,6.480121
837.27784,0,-0.034256307,60248.432,62129.722,22450.077,23532.933,0,6.560121
837.27784,0,-0.03763422,62498.47,64288.782,24620.862,25671.119,0,6.640121
837.27784,0,-0.041147242,60840.527,62684.63,22943.425,24006.075,0,6.720121
837.27784,0,-0.044792156,58210.101,60134.503,20718.785,21799.595,0,6.800121
837.27784,0,-0.048565744,59181.372,61105.618,21589.374,22685.015,0,6.880121
837.27784,0,-0.05246479,61741.783,63548.338,24155.521,25218.67,0,6.960121
837.27784,0,-0.056486077,61570.097,63369.788,23842.15,24889.544,0,7.040121
837.27784,0,-0.060626388,58881.071,60774.243,21530.723,22605.49,0,7.120121
837.27784,0,-0.064882506,58477.118,60403.256,21177.999,22273.112,0,7.200121
837.27784,0,-0.069251213,60682.783,62532.574,23394.067,24470.55,0,7.280121
837.27784,0,-0.073729294,61741.552,63533.161,24310.061,25363.502,0,7.360121
837.27784,0,-0.07831353,59745.734,61586.039,22529.637,23594.655,0,7.440121
837.27784,0,-0.083000705,58258.902,60171.004,21267.078,22354.632,0,7.520121
837.27784,0,-0.087787601,59601.729,61472.593,22622.289,23709.602,0,7.600121
837.27784,0,-0.092671003,61351.812,63151.802,24284.564,25344.365,0,7.680121
837.27784,0,-0.097647693,60489.427,62286.041,23481.879,24537.525,0,7.760121
837.27784,0,-0.10271445,58538.83,60424.458,21813.063,22890.192,0,7.840121
837.27784,0,-0.10786807,58740.072,60630.683,22109.005,23202.361,0,7.920121
837.27784,0,-0.11310532,60531.146,62348.041,23861.007,24931.574,0,8.000121
837.27784,0,-0.11842299,60830.039,62613.435,24131.274,25186.384,0,8.080121
837.27784,0,-0.12381786,59109.716,60959.251,22649.104,23721.287,0,8.160121
837.27784,0,-0.12928672,58302.215,60185.515,22037.175,23126.829,0,8.240121
837.27784,0,-0.13482635,59539.344,61391.843,23298.284,24385.636,0,8.320121
837.27784,0,-0.14043353,60630.541,62424.784,24341.334,25403.861,0,8.400121
837.27784,0,-0.14610505,59699.309,61500.938,23535.069,24596.954,0,8.480121
837.27784,0,-0.15183768,58346.673,60196.437,22416.629,23496.883,0,8.560121
837.27784,0,-0.15762822,58688.551,60530.588,22879.41,23966.642,0,8.640121
837.27784,0,-0.16347344,59997.135,61800.707,24147.551,25223.825,0,8.720121
837.27784,0,-0.16937012,59986.105,61765.935,24209.234,25268.118,0,8.800121
837.27784,0,-0.17531506,58703.624,60519.617,23117.503,24188.385,0,8.880121
837.27784,0,-0.18130503,58196.021,60026.044,22820.545,23902.002,0,8.960121
837.27784,0,-0.18733681,59134.813,60958.857,23790.183,24875.644,0,9.040121
837.27784,0,-0.19340719,59820.028,61597.212,24498.144,25567.599,0,9.120121
837.27784,0,-0.19951296,59088.653,60872.596,23895.895,24959.172,0,9.200121
837.27784,0,-0.20565089,58124.04,59927.386,23162.576,24240.509,0,9.280121
837.27784,0,-0.21181777,58374.055,60189.384,23539.901,24623.796,0,9.360121
837.27784,0,-0.21801038,59255.193,61043.714,24448.933,25521.973,0,9.440121
837.27784,0,-0.2242255,59234.829,60989.172,24491.621,25558.391,0,9.520121
837.27784,0,-0.23045992,58318.486,60091.206,23773.114,24842.233,0,9.600121
837.27784,0,-0.23671043,57928.377,59724.671,23585.302,24664.945,0,9.680121
