length(mm),swing(rad),up_down(rad),FR(N),FL(N),RR(N),RL(N),External_force(N),Time(sec)
837.27784,0,0,0,0,4.37E-06,0,0,0
837.27784,0,0,13508.899,14384.809,0,0,0,0.080121
837.27784,0,0,9770.6906,10388.21,0,0,0,0.160121
837.27784,0,0,25150.676,27083.609,0,0,0,0.240121
837.27784,0,0,29953.762,31991.24,0,4.8823176,0,0.320121
837.27784,0,0,32732.927,34745.994,80.405066,194.00348,0,0.400121
837.27784,0,0,33604.583,35947.663,0,4.3825915,0,0.480121
837.27784,0,0,29337.428,31140.898,0.28109832,8.0067439,0,0.560121
837.27784,0,0,25747.02,27627.207,0,0,0,0.640121
837.27784,0,0,22145.527,23803.004,0,0,0,0.720121
837.27784,0,0,20933.952,22470.888,0,0,0,0.800121
837.27784,0,0,26594.238,28309.45,0,0,0,0.880121
837.27784,0,0,39798.59,41662.779,3844.2591,4393.7626,0,0.960121
837.27784,0,0,67788.39,69782.338,29525.857,30761.211,0,1.040121
837.27784,0,0,90704.364,92786.301,63256.58,64919.24,0,1.120121
837.27784,0,0,75795.619,77671.371,32005.703,33146.802,0,1.200121
837.27784,0,0,48053.859,50261.613,4205.2073,4828.2797,0,1.280121
837.27784,0,0,45161.48,47284.736,5260.478,5947.095,0,1.360121
837.27784,0,0,66240.91,68053.33,33948.78,35175.967,0,1.440121
837.27784,0,0,71166.002,72942.678,34113.24,35265.879,0,1.520121
837.27784,0,0,54673.182,56585.438,13069.581,13943.791,0,1.600121
837.27784,0,0,53681.092,55779.696,15683.667,16749.513,0,1.680121
837.27784,0,0,65474.884,67443.944,27888.396,29097.359,0,1.760121
837.27784,0,0,67176.016,68778.317,28745.273,29723.619,0,1.840121
837.27784,0,0,56704.677,58632.323,18528.563,19565.999,0,1.920121
837.27784,0,0,53384.227,55507.07,15943.193,17042.666,0,2.000121
837.27784,0,0,61815.384,63710.476,23791.743,24900.177,0,2.080121
837.27784,0,0,67577.955,69179.602,29343.803,30324.51,0,2.160121
837.27784,0,0,60261.34,62132.75,21981.492,23038.957,0,2.240121
837.27784,0,0,53676.698,55790.145,16199.832,17293.152,0,2.320121
837.27784,0,0,58449.9,60419.49,20555.824,21658.178,0,2.400121
837.27784,0,0,66496.908,68170.282,28322.731,29336.152,0,2.480121
837.27784,0,0,63385.456,65146.549,25056.327,26093.837,0,2.560121
837.27784,0,0,55212.461,57267.399,17526.525,18619.372,0,2.640121
837.27784,0,0,56028.909,58081.387,18347.603,19455.836,0,2.720121
837.27784,0,0,64211.248,65976.602,26065.033,27114.844,0,2.800121
837.27784,0,0,65407.043,67078.989,27142.306,28152.487,0,2.880121
837.27784,0,0,57651.418,59620.061,19671.785,20753.696,0,2.960121
837.27784,0,0,54894.468,56976.623,17336.255,18439.987,0,3.040121
837.27784,0,0,61423.543,63287.819,23369.148,24448.525,0,3.120121
837.27784,0,0,65983.557,67649.724,27790.537,28802.398,0,3.200121
837.27784,0,0,60350.706,62212.983,22172.185,23237.664,0,3.280121
837.27784,0,0,55045.99,57101.412,17439.793,18533.612,0,3.360121
837.27784,0,0,58860.22,60815.404,20961.644,22056.671,0,3.440121
837.27784,0,0,65217.172,66929.803,27065.622,28097.629,0,3.520121
837.27784,0,0,62688.116,64471.665,24456.175,25498.88,0,3.600121
837.27784,0,0,56236.97,58248.632,18451.341,19537.287,0,3.680121
837.27784,0,0,57012.308,59033.338,19264.999,20368.571,0,3.760121
837.27784,0,0,63521.373,65296.973,25415.203,26466.101,0,3.840121
837.27784,0,0,64222.326,65941.585,26004.686,27034.612,0,3.920121
837.27784,0,0,58045.488,59998.42,20083.728,21163.871,0,4.000121
837.27784,0,0,56110.357,58145.377,18435.03,19533.377,0,4.080121
837.27784,0,0,61446.962,63296.28,23418.789,24493.944,0,4.160121
837.27784,0,0,64711.276,66424.221,26544.793,27573.132,0,4.240121
837.27784,0,0,60074.813,61955.846,21963.369,23029.868,0,4.320121
837.27784,0,0,56151.164,58164.824,18444.496,19535.809,0,4.400121
837.27784,0,0,59490.719,61417.744,21574.287,22666.154,0,4.480121
837.27784,0,0,64226.997,65972.698,26109.379,27151.781,0,4.560121
837.27784,0,0,61860.932,63670.542,23688.245,24741.534,0,4.640121
837.27784,0,0,56964.665,58940.392,19147.945,20231.536,0,4.720121
837.27784,0,0,58038.893,60014.643,20211.184,21310.108,0,4.800121
837.27784,0,0,63059.536,64851.595,24982.04,26040.176,0,4.880121
837.27784,0,0,63075.288,64843.52,24906.528,25950.154,0,4.960121
837.27784,0,-1.68E-05,58385.736,60316.756,20267.589,21343.903,0,5.040121
837.27784,0,-0.000149891,57500.595,59507.841,19383.079,20480.548,0,5.120121
837.27784,0,-0.000413791,61654.542,63491.013,23575.355,24640.33,0,5.200121
837.27784,0,-0.000806367,63852.175,65633.99,25275.623,26328.481,0,5.280121
837.27784,0,-0.001325476,59792.89,61669.761,21716.756,22777.372,0,5.360121
837.27784,0,-0.001968971,57385.648,59390.497,19257.709,20345.922,0,5.440121
837.27784,0,-0.002734709,60164.498,62057.688,22168.37,23250.313,0,5.520121
837.27784,0,-0.003620544,63551.745,65330.473,25174.259,26229.896,0,5.600121
837.27784,0,-0.004624333,61240.583,63083.417,22986.16,24041.222,0,5.680121
837.27784,0,-0.00574393,57724.86,59701.184,19778.644,20869.131,0,5.760121
837.27784,0,-0.006977191,59051.494,60995.839,20999.261,22090.72,0,5.840121
837.27784,0,-0.00832197,62629.037,64429.39,24557.436,25611.275,0,5.920121
837.27784,0,-0.009776125,62288.369,64104.495,23954.679,25011.967,0,6.000121
837.27784,0,-0.011337509,58553.038,60477.999,20679.612,21756.211,0,6.080121
837.27784,0,-0.013003978,58307.237,60277.16,20349.267,21442.096,0,6.160121
837.27784,0,-0.014773388,61502.827,63339.503,23561.193,24633.475,0,6.240121
837.27784,0,-0.016643593,62692.723,64478.783,24517.804,25567.421,0,6.320121
837.27784,0,-0.01861245,59673.296,61559.135,21726.049,22791.49,0,6.400121
837.27784,0,-0.020677813,58007.851,59962.556,20251.148,21342.903,0,6.480121
837.27784,0,-0.022837538,60354.009,62238.88,22495.472,23576.71,0,6.560121
837.27784,0,-0.02508948,62505.979,64304.196,24569.283,25625.357,0,6.640121
837.27784,0,-0.027431495,60733.639,62583.394,22769.255,23832.205,0,6.720121
837.27784,0,-0.029861437,58219.827,60151.207,20609.993,21691.912,0,6.800121
837.27784,0,-0.032377163,59358.062,61278.017,21641.802,22732.536,0,6.880121
837.27784,0,-0.034976527,61865.898,63689.808,24140.6,25202.9,0,6.960121
837.27784,0,-0.037657385,61474.442,63282.383,23620.877,24677.222,0,7.040121
837.27784,0,-0.040417592,58855.243,60760.493,21298.702,22374.984,0,7.120121
837.27784,0,-0.043255004,58672.031,60592.112,21180.159,22267.784,0,7.200121
837.27784,0,-0.046167476,60979.415,62823.192,23418.389,24490.795,0,7.280121
837.27784,0,-0.049152862,61739.149,63540.54,24098.813,25157.584,0,7.360121
837.27784,0,-0.05220902,59671.504,61534.717,22166.246,23231.052,0,7.440121
837.27784,0,-0.055333803,58437.635,60352.674,21143.557,22227.775,0,7.520121
837.27784,0,-0.058525068,60013.472,61886.024,22664.925,23748.261,0,7.600121
837.27784,0,-0.061780669,61537.821,63341.836,24133.66,25190.679,0,7.680121
837.27784,0,-0.065098462,60400.757,62232.399,23013.627,24078.643,0,7.760121
837.27784,0,-0.068476302,58623.935,60527.159,21493.713,22576.258,0,7.840121
837.27784,0,-0.071912045,59224.11,61114.325,22109.077,23197.16,0,7.920121
837.27784,0,-0.075403546,60955.171,62786.801,23797.647,24869.771,0,8.000121
837.27784,0,-0.07894866,60842.733,62655.262,23652.053,24710.042,0,8.080121
837.27784,0,-0.082545242,59111.036,60977.952,22121.248,23194.794,0,8.160121
837.27784,0,-0.086191149,58752.852,60638.991,21876.07,22962.514,0,8.240121
837.27784,0,-0.089884235,60171.842,62014.429,23288.894,24365.481,0,8.320121
837.27784,0,-0.093622355,60890.264,62702.244,23939.128,25005.039,0,8.400121
837.27784,0,-0.097403366,59665.321,61504.781,22841.038,23908.104,0,8.480121
837.27784,0,-0.10122512,58661.568,60534.467,22009.33,23088.239,0,8.560121
837.27784,0,-0.10508548,59436.751,61290.45,22827.201,23910.768,0,8.640121
837.27784,0,-0.10898229,60558.258,62370.112,23884.541,24956.361,0,8.720121
837.27784,0,-0.11291341,60074.968,61879.953,23457.568,24523.914,0,8.800121
837.27784,0,-0.1168767,58869.259,60722.71,22423.106,23496.457,0,8.880121
837.27784,0,-0.12087002,58914.66,60773.88,22582.633,23663.009,0,8.960121
837.27784,0,-0.12489121,59978.361,61805.313,23628.945,24701.843,0,9.040121
837.27784,0,-0.12893813,60185.493,61985.817,23832.137,24901.206,0,9.120121
837.27784,0,-0.13300864,59211.159,61039.669,22973.148,24045.136,0,9.200121
837.27784,0,-0.13710059,58688.793,60540.258,22618.976,23695.846,0,9.280121
837.27784,0,-0.14121185,59371.383,61213.466,23332.617,24414.092,0,9.360121
837.27784,0,-0.14534025,59983.39,61780.875,23934.507,25006.179,0,9.440121
837.27784,0,-0.14948367,59488.578,61299.888,23502.581,24573.767,0,9.520121
837.27784,0,-0.15363995,58727.043,60562.549,22905.126,23976.802,0,9.600121
837.27784,0,-0.15780695,58901.954,60732.804,23168.772,24246.062,0,9.680121
